Date,Open,High,Low,Close,Adj Close,Volume
2022-04-08,156.910004,158.410004,156.210007,157.410004,154.938263,7764800
2022-04-11,156.970001,158.240005,153.630005,154.289993,151.867249,8237600
2022-04-12,154.240005,155.399994,152.550003,153.229996,150.823914,8920400
2022-04-13,153.449997,157.789993,153.350006,157.220001,154.751266,9761500
2022-04-14,157.110001,158.289993,156.429993,157.080002,154.613449,7453500
2022-04-18,156.750000,157.979996,155.210007,155.880005,153.432297,4890600
2022-04-19,156.669998,157.949997,156.039993,157.649994,155.174500,5285000
2022-04-20,158.350006,160.350006,158.289993,159.630005,157.123428,6607200
2022-04-21,159.919998,160.770004,159.070007,159.869995,157.359634,6056100
2022-04-22,160.250000,160.360001,156.660004,156.860001,154.396896,7015400
2022-04-25,156.369995,157.470001,154.350006,156.940002,154.475662,6019200
2022-04-26,156.369995,158.130005,155.199997,155.300003,152.861420,6533700
2022-04-27,155.529999,156.199997,154.020004,154.240005,151.818039,5832300
2022-04-28,155.229996,156.979996,154.100006,156.210007,153.757111,4985300
2022-04-29,155.809998,156.220001,152.710007,152.990005,150.587677,7029600
2022-05-02,154.960007,154.990005,150.320007,151.979996,149.593536,6672000
2022-05-03,152.429993,154.279999,151.779999,152.509995,150.115219,5983500
2022-05-04,152.029999,154.820007,151.509995,154.619995,152.192078,6674200
2022-05-05,153.639999,153.830002,151.399994,152.740005,150.888077,7744800
2022-05-06,151.710007,153.949997,148.270004,149.559998,147.746628,11419400
2022-05-09,148.470001,153.100006,148.190002,151.309998,149.475418,9402400
2022-05-10,151.429993,152.289993,148.559998,149.179993,147.371246,8287100
2022-05-11,149.399994,150.750000,146.910004,147.619995,145.830154,9292900
2022-05-12,147.860001,150.149994,146.520004,147.479996,145.691849,8414800
2022-05-13,147.710007,148.380005,146.139999,148.050003,146.254959,6654100
2022-05-16,149.380005,149.729996,146.460007,148.210007,146.413010,7149700
2022-05-17,136.429993,137.440002,130.639999,131.350006,129.757431,44313400
2022-05-18,128.029999,128.270004,121.529999,122.430000,120.945580,34751000
2022-05-19,120.870003,121.790001,118.599998,119.070000,117.626320,23669500
2022-05-20,119.639999,120.839996,117.269997,119.199997,117.754738,16452000
2022-05-23,119.919998,123.769997,119.860001,122.599998,121.113518,14560300
2022-05-24,121.209999,124.550003,121.080002,124.129997,122.624969,11528300
2022-05-25,124.000000,124.669998,122.599998,123.370003,121.874184,9040600
2022-05-26,125.300003,126.400002,124.400002,126.000000,124.472298,9399200
2022-05-27,125.489998,128.619995,125.309998,128.479996,126.922218,8433300
2022-05-31,127.459999,129.899994,127.419998,128.630005,127.070412,12304100
2022-06-01,128.500000,128.919998,124.680000,125.449997,123.928955,9511600
2022-06-02,125.570000,127.529999,124.330002,127.510002,125.963982,7738100
2022-06-03,126.669998,127.419998,125.089996,125.320000,123.800537,6100900
2022-06-06,125.820000,126.300003,124.589996,124.870003,123.356003,6618500
2022-06-07,121.239998,123.489998,120.879997,123.370003,121.874184,15902600
2022-06-08,122.349998,123.910004,121.949997,122.300003,120.817162,7507600
2022-06-09,122.000000,124.349998,120.989998,121.019997,119.552666,6626700
2022-06-10,119.750000,122.739998,119.339996,121.699997,120.224426,8412700
2022-06-13,119.739998,121.239998,119.089996,119.410004,117.962196,8299300
2022-06-14,119.129997,120.000000,118.169998,119.459999,118.011589,7181400
2022-06-15,119.970001,120.410004,117.900002,119.379997,117.932556,8638000
2022-06-16,118.349998,121.760002,118.230003,120.620003,119.157524,10235600
2022-06-17,120.019997,120.879997,117.970001,118.290001,116.855774,12279600
2022-06-21,118.300003,122.779999,118.220001,122.169998,120.688728,7972200
2022-06-22,122.099998,123.250000,120.589996,120.690002,119.226677,6745000
2022-06-23,121.750000,123.959999,121.199997,123.620003,122.121147,6013600
2022-06-24,124.089996,125.309998,123.160004,123.720001,122.219940,10615300
2022-06-27,123.779999,124.739998,122.790001,124.120003,122.615089,6629700
2022-06-28,124.660004,125.570000,122.290001,122.370003,120.886307,5133000
2022-06-29,122.889999,123.349998,120.970001,121.919998,120.441765,6370500
2022-06-30,120.879997,122.059998,119.889999,121.580002,120.105888,6388700
2022-07-01,121.940002,122.919998,121.160004,122.629997,121.143158,5820300
2022-07-05,122.209999,124.510002,121.610001,124.250000,122.743515,6072700
2022-07-06,124.480003,126.279999,124.300003,125.129997,123.612846,7100000
2022-07-07,125.190002,125.529999,124.120003,125.320000,123.800537,5829100
2022-07-08,125.820000,126.610001,125.150002,125.400002,123.879570,4917000
2022-07-11,125.019997,126.330002,124.620003,125.449997,123.928955,3844300
2022-07-12,125.110001,127.129997,124.720001,125.070000,123.553581,4577400
2022-07-13,124.440002,126.459999,123.910004,125.370003,123.849937,4229700
2022-07-14,124.160004,128.320007,124.139999,127.820000,126.270226,6968500
2022-07-15,128.800003,130.270004,128.050003,129.070007,127.505074,7061400
2022-07-18,128.649994,130.300003,128.259995,128.770004,127.208717,4747900
2022-07-19,129.389999,129.960007,128.600006,129.559998,127.989128,5665100
2022-07-20,130.509995,131.309998,129.500000,130.639999,129.056030,6188300
2022-07-21,130.679993,132.559998,130.500000,132.550003,130.942886,6254900
2022-07-22,132.539993,133.389999,131.229996,132.210007,130.607010,4538800
2022-07-25,132.389999,132.699997,131.460007,132.020004,130.419312,6845100
2022-07-26,121.129997,122.690002,120.059998,121.980003,120.501045,31797200
2022-07-27,121.239998,126.769997,121.029999,126.589996,125.055138,14053200
2022-07-28,126.269997,130.509995,126.269997,129.750000,128.176819,11087400
2022-07-29,128.320007,132.259995,128.009995,132.050003,130.448944,10047300
2022-08-01,131.059998,134.229996,131.000000,132.539993,130.932999,8332100
2022-08-02,133.149994,133.710007,131.399994,132.679993,131.071304,6565000
2022-08-03,132.160004,132.940002,129.860001,130.500000,128.917740,10667700
2022-08-04,130.669998,130.800003,125.330002,125.570000,124.047501,17702000
2022-08-05,125.510002,126.809998,125.120003,126.580002,125.045265,10669000
2022-08-08,126.650002,128.210007,126.610001,127.610001,126.062782,6058400
2022-08-09,127.889999,128.970001,127.209999,128.869995,127.307495,6441700
2022-08-10,130.000000,130.149994,128.389999,129.139999,127.574234,8417000
2022-08-11,129.699997,130.369995,128.600006,129.820007,128.804535,7951500
2022-08-12,130.000000,132.839996,129.820007,132.220001,131.185760,8875000
2022-08-15,131.630005,133.570007,131.360001,132.600006,131.562790,8838700
2022-08-16,138.899994,140.929993,138.190002,139.369995,138.279816,30591100
